,Company,Close,Close90,ROI,Best Selling Date Approx
0,AARTIIND,600.05,717.4609,0.9824859781396238,2023-01-25
1,ALKALI,159.8,141.81313,-7.148640880644774,2023-04-04
2,ALKYLAMINE,2683.1,3189.7805,18.530582376156044,2023-04-03
3,ASTEC,1707.65,1832.3035,11.35591813905017,2023-02-25
4,BALAMINES,2567.85,2924.7983,17.608666081492593,2023-04-05
5,BASF,2747.8,2843.6702,16.045308747740158,2023-02-07
6,BAYERCROP,4719.15,4896.723,32.85249017638935,2023-01-26
7,BHARATRAS,9519.7,11172.026,19.82844083411774,2023-02-06
8,CAMLINFINE,154.4,142.51059,-3.297456313054196,2023-03-04
9,CHEMBOND,249.85,225.78114,-2.897730687453501,2023-01-14
10,CHEMFAB,279.95,259.79102,-2.780900834902068,2023-02-28
11,DEEPAKNTR,1934.55,2142.0623,7.804711784700738,2023-02-01
12,DHANUKA,724.7,743.04877,-0.15878009972737783,2023-04-03
13,EXCELINDUS,1158.2,1538.1486,2.8384986004786255,2023-02-01
14,FCL,248.05,240.22707,-2.714643002601471,2023-04-09
15,FINEORG,5709.05,5571.6367,46.14730895209279,2023-04-03
16,FLUOROCHEM,2888.5,2665.0474,30.970005624104285,2023-03-02
17,FOSECOIND,1922.45,1907.4435,9.194379961399274,2023-02-28
18,GALAXYSURF,2393.85,2756.9429,2.7210598203946246,2023-02-02
19,GHCL,526.05,595.9585,-0.40120121729719327,2023-03-01
20,GODREJIND,454.0,487.52457,0.09401986728914008,2023-02-01
21,GUJALKALI,751.2,936.02466,1.5382237379758077,2023-03-11
22,GULPOLY,264.3,286.3769,-2.3240147338169956,2023-03-21
23,HSCL,95.7,94.14797,-3.484656167806745,2023-02-02
24,IGPL,513.55,639.42444,-0.22478278838069457,2023-04-03
25,INDIAGLYCO,754.45,999.0702,1.7371904729820453,2023-03-31
26,INSECTICID,731.8,661.8739,0.03384634355085825,2023-02-09
27,IVP,139.2,168.48216,-3.7519875922492694,2023-02-16
28,JAYAGROGN,178.25,245.00648,-3.3143868390328612,2023-04-09
29,JOCIL,197.5,213.7233,-3.6575724274817296,2023-02-06
30,KANORICHEM,140.6,141.80054,-3.6376126384953245,2023-03-27
31,LINDEINDIA,3441.3,3917.514,27.295946833339283,2023-03-31
32,MEGH,138.25,138.02202,-3.7906700428728803,2021-06-19
33,NACLIND,98.55,92.1378,-3.714748338785119,2023-02-03
34,NAVINFLUOR,3955.15,4067.0364,20.67647449084748,2023-01-11
35,NEOGEN,1249.6,1283.5612,8.778288638023295,2023-02-21
36,OAL,413.65,452.73715,-3.724817173396262,2023-02-28
37,OMKARCHEM,25.2,34.624104,-3.5339038576106367,2023-01-12
38,PANAMAPET,360.75,353.63577,-1.8994219803806935,2023-04-06
39,PIDILITIND,2552.35,2449.5637,16.562502918990297,2023-01-11
40,PIIND,3317.85,3329.7449,12.02907804406109,2023-03-16
41,PREMEXPLN,403.5,402.17462,-0.9731532031467827,2023-03-04
42,PUNJABCHEM,1087.1,1213.5542,4.236863260617804,2023-01-30
43,RALLIS,240.7,264.08914,-2.5870695957215175,2023-04-03
44,REFEX,265.2,266.4649,-3.162163350604055,2023-02-02
45,SEYAIND,59.45,56.836544,-3.6364356570582195,2022-04-17
46,SHARDACROP,491.25,712.90967,-2.5465515072495157,2023-03-31
47,SHK,142.35,158.66512,-2.936885109868958,2023-02-28
48,SHREEPUSHK,179.6,235.54228,-3.600912329590075,2023-03-01
49,SOLARINDS,4384.2,4392.899,23.18817903318725,2023-04-04
50,SRHHYPOLTD,518.85,509.3859,-2.385019083809224,2023-02-02
51,TATACHEM,958.3,1007.1451,3.7683177434320023,2023-02-28
52,TIRUMALCHM,206.45,266.6587,-3.024117805609398,2023-03-27
53,TNPETRO,93.2,116.767265,-3.6146272084475064,2023-02-28
54,UPL,734.2,808.22186,3.3962664706911547,2023-01-25
