,Company,Close,Close90,ROI,Best Selling Date Approx
0,63MOONS,168.25,188.80615,-4.0652308157454,2023-01-17
1,ACCELYA,1420.0,1356.6786,7.562217244765487,2023-03-08
2,AIRAN,16.55,19.29878,-3.6255909034378297,2023-01-19
3,ALLSEC,521.8,538.6153,-2.5927409275911137,2023-01-13
4,APTECHT,374.1,362.39764,-2.638026723166846,2023-04-03
5,AURIONPRO,368.4,365.30743,-4.789780067234313,2023-02-01
6,AURUM,118.15,143.1398,-3.5026501263317846,2023-04-05
7,BBOX,136.25,146.92815,-2.4387007249943102,2023-03-22
8,DUCON,14.0,21.174067,-3.668246469210762,2023-04-09
9,HCL-INSYS,16.45,20.009352,-3.606433533287207,2023-03-09
10,HCLTECH,1067.45,1100.8794,5.060623975696595,2023-01-14
11,HGS,1305.7,1115.0608,5.213816096673066,2023-01-14
12,HOVS,50.95,62.888832,-3.7338445962311275,2023-01-20
13,INFOBEAN,513.75,743.09845,-4.270206688231075,2023-01-13
14,INFY,1484.45,1603.4814,11.467125085441177,2023-04-02
15,INSPIRISYS,56.55,56.045914,-5.040647155441822,2023-04-05
16,MASTEK,1722.75,2991.6287,19.817856584539438,2023-03-31
17,MPHASIS,1999.5,2183.1882,18.10047164366463,2023-04-03
18,NEWGEN,366.55,425.47342,-2.391400091644021,2023-01-25
19,OFSS,3006.8,3262.8406,21.512893133668424,2023-02-01
20,ONWARDTEC,298.0,381.81677,-4.858093405946975,2023-02-01
21,PALREDTEC,177.2,178.05545,-5.879004372973516,2023-01-26
22,PANACHE,59.35,64.44198,-3.6252699776032578,2023-01-19
23,PERSISTENT,3994.85,4242.3496,44.62125059421921,2023-02-28
24,QUICKHEAL,171.35,200.99162,-2.481308124682362,2023-02-10
25,RAMCOSYS,244.35,337.4802,-1.2782576067027034,2023-02-01
26,REDINGTON,185.35,176.44438,-2.908560895690895,2023-02-05
27,RPSGVENT,450.15,521.64935,-0.05476943781682425,2023-03-23
28,RSSOFTWARE,24.65,36.367588,-3.664731129656315,2023-01-19
29,SASKEN,899.45,966.81354,3.918969122196638,2023-02-16
30,SONATSOFTW,582.95,632.92053,-0.27306370413127223,2023-02-02
31,TAKE,23.25,29.679224,-3.5181960397660297,2023-03-10
32,TANLA,701.15,802.4385,0.6485971396768118,2023-01-13
33,TATAELXSI,6232.0,8735.634,29.465213249547926,2023-03-27
34,TCS,3319.95,3690.6616,34.002214973465094,2023-02-25
35,TECHM,1015.25,1223.9456,5.749799670216244,2023-01-31
36,TERASOFT,42.9,49.355347,-3.7504821506069326,2023-02-22
37,TREJHARA,73.15,73.98009,-3.499073324680578,2023-02-22
38,TRIGYN,92.75,129.66995,-3.85709127612081,2023-02-01
39,TVSELECT,393.55,391.7546,-3.8483945582655466,2023-02-04
40,VAKRANGEE,27.25,33.55996,-3.4103488285509136,2023-03-24
41,WINPRO,3.85,4.491369,-3.644438568096097,2023-04-01
42,WIPRO,391.8,433.39194,0.69262900887583,2023-04-02
43,XCHANGING,67.75,88.74733,-2.857949193811917,2023-04-02
44,XELPMOC,136.85,148.63962,-2.8926224967801537,2023-03-09
45,ZENSARTECH,208.05,239.3259,-1.8206490575984742,2023-02-15
46,ZENTEC,194.85,203.94366,-3.1166891521201783,2023-04-06
