,Company,Close,Close90,ROI,Best Selling Date Approx
0,APLAPOLLO,1112.85,1130.9923,3.0883802339155535,2023-02-01
1,BHARATWIRE,104.55,103.91432,-3.349379548225014,2023-03-03
2,DPWIRES,410.6,417.69354,-2.426224641599202,2023-02-03
3,GAL,3.45,3.603828,-3.6722160211052475,2023-01-02
4,GALLANTT,63.15,70.792946,-3.6476991563861723,2023-01-31
5,GALLISPAT,64.15,63.31982,-3.775611075853097,2022-08-05
6,GANDHITUBE,520.25,511.19073,-2.794861860848504,2023-04-01
7,GOODLUCK,375.75,327.07367,-1.4818353142660154,2023-02-01
8,GPIL,397.75,476.38757,-2.0397475292616574,2023-04-08
9,HISARMETAL,144.15,143.90721,-5.766607479719579,2023-02-04
10,HITECH,861.55,821.1672,1.1425367539980822,2023-03-02
11,IMFA,275.2,395.6778,-0.8542124631425481,2023-03-23
12,INCREDIBLE,27.15,24.101015,-3.7703121982066867,2023-04-02
13,ISMTLTD,55.3,56.611206,-3.423334326648065,2023-04-09
14,JAIBALAJI,53.4,55.92821,-3.745955872659001,2023-03-09
15,JAICORPLTD,146.25,137.31905,-3.117699510428961,2023-02-22
16,JINDALSAW,113.1,102.171844,-3.1055232435091944,2023-02-01
17,JINDALSTEL,601.6,582.5411,1.7984014613817958,2023-03-10
18,JSL,449.2,436.96378,0.03774949147170553,2023-03-01
19,JSLHISAR,449.2,436.96378,0.03774949147170553,2023-03-01
20,JSWISPL,31.65,35.984318,-3.374766751122818,2023-01-15
21,JSWSTEEL,742.35,766.5048,3.9140649268865055,2023-03-23
22,KAMDHENU,383.95,383.10376,-3.1415034252111855,2023-04-02
23,KIRLFER,354.6,334.39908,-0.8407415662050461,2023-04-03
24,KSL,370.05,354.05167,-3.4962579379501606,2023-01-11
25,LSIL,16.5,16.487328,-3.643518166518836,2023-02-01
26,MAHASTEEL,71.05,78.90529,-3.1767461480171995,2023-04-03
27,MAHSEAMLES,329.8,422.68668,-1.3406400588290588,2023-02-28
28,MANAKSTEEL,35.8,42.041473,-3.6663155466744874,2023-01-14
29,MANINDS,79.8,93.74904,-3.1338829291916617,2023-01-26
30,MIDHANI,215.55,217.87509,-3.5262895951760114,2023-04-02
31,MSPL,9.6,11.364474,-3.6545556297631,2023-04-05
32,MUKANDLTD,127.2,145.72821,-4.092469837691082,2023-03-28
33,PENIND,56.7,55.464165,-3.4673096977603044,2023-01-19
34,PRAKASHSTL,4.95,6.2469864,-3.6524070354598357,2023-02-16
35,RAMASTEEL,41.95,73.11122,-3.30352425447065,2023-03-01
36,RATNAMANI,1997.7,2444.0215,11.923913004840665,2023-03-15
37,SAIL,87.75,94.50415,-2.312450104748959,2023-02-01
38,SARDAEN,1091.7,1180.3092,-0.4863342507319335,2023-02-02
39,SHAHALLOYS,68.05,115.18696,-3.4543248518807963,2023-04-03
40,SRIPIPES,200.8,198.49052,-2.8052471232913,2022-04-03
41,SUNFLAG,116.4,101.56811,-3.1360901366226392,2023-04-02
42,SURYAROSNI,564.15,498.8032,7.8380094123259365,2023-03-04
43,TATAMETALI,827.35,877.4011,1.4820596538174822,2023-01-20
44,TATASTEEL,117.55,145.60382,-1.082684655959331,2023-03-02
45,TATASTLBSL,98.6,94.463394,-2.77642813131232,2021-08-29
46,TATASTLLP,703.8,770.0628,1.9489844749652887,2023-01-25
47,TIIL,917.35,1186.6891,-2.468832349099022,2023-03-05
48,USHAMART,180.9,156.38237,-2.448558850164273,2023-04-03
49,UTTAMSTL,3.75,4.2913966,-3.56850503258895,2022-06-28
50,VASWANI,18.85,20.995754,-3.6785238026415974,2023-01-11
51,VISASTEEL,16.1,15.637819,-3.6632236601665134,2023-01-10
52,VSSL,308.45,302.22906,-2.5905920234533055,2023-04-09
53,WELCORP,220.55,222.22604,-3.332486958872051,2023-02-09
54,ZENITHSTL,5.7,5.692756,-3.6889485289601587,2023-03-05
