,Company,Close,Close90,ROI,Best Selling Date Approx
0,AGI,326.15,322.77124,-2.781814127751511,2023-01-19
1,AHLUCONT,517.95,536.1787,2.1421867454991337,2023-03-16
2,AJMERA,319.25,351.67004,-3.028624161931251,2023-01-15
3,AMJLAND,29.5,32.41243,-3.7183719045870496,2023-03-06
4,ANANTRAJ,115.7,113.49914,-3.426333063598411,2023-02-05
5,ANSALAPI,21.5,22.602001,-3.707220841923435,2022-10-14
6,ARENTERP,39.9,50.05351,-3.9050716683665363,2023-04-08
7,ARIHANT,39.65,38.82647,-3.44929505721584,2022-04-21
8,ARIHANTSUP,225.4,189.75073,-4.156959178300314,2023-02-05
9,ARSSINFRA,25.7,25.103455,-3.755654251486836,2022-07-24
10,ASHIANA,141.05,142.17209,-3.2147866778739362,2023-02-28
11,ASHOKA,88.6,92.37561,-3.3791816819048583,2023-02-27
12,ASIANTILES,48.95,52.748314,-3.49454138153389,2023-02-28
13,BHAGYAPROP,42.15,31.305424,-3.6282497551053345,2022-12-14
14,BLKASHYAP,32.2,29.672321,-3.632476971636853,2023-01-20
15,BRIGADE,456.3,497.4089,-0.1390640857174959,2023-02-20
16,BRNL,37.65,36.42552,-4.216495654403451,2023-02-02
17,BSELINFRA,1.4,1.3895717,-3.547267298520287,2021-10-05
18,CAPACITE,162.05,132.07457,-3.5962212886761384,2023-01-13
19,CERA,5365.5,5205.1187,23.76534137591855,2023-03-19
20,COUNCODOS,5.15,5.2482347,-3.651711589335695,2023-01-02
21,DLF,373.95,401.47943,-1.3708674681560733,2023-01-15
22,FMNL,5.2,5.956313,-3.6454934486026125,2023-02-28
23,GAYAPROJ,14.45,29.418066,-3.7027799787777886,2023-01-15
24,GEECEE,147.1,157.47038,-4.647333858167447,2023-04-02
25,GODREJPROP,1216.85,1418.6028,12.272988502045786,2023-02-01
26,GREENLAM,325.5,369.2137,-2.118353633279858,2023-02-01
27,GREENPANEL,317.9,439.27286,-1.955348009702525,2023-03-20
28,HCC,20.85,21.119204,-3.196992504279938,2023-02-01
29,HGINFRA,694.4,689.99304,-3.532735047610349,2023-02-05
30,IBREALEST,77.2,113.67793,-3.3156202825734105,2023-02-22
31,ITDCEM,122.85,122.63835,-3.205020600127012,2023-03-01
32,JKIL,279.2,270.35233,-1.9627414170925708,2023-04-03
33,JMCPROJECT,123.25,119.32186,-4.120487476051364,2023-04-03
34,JPINFRATEC,2.55,2.673356,-3.57546438637957,2022-07-24
35,KAJARIACER,1160.7,1018.5442,5.1955933048365015,2023-01-29
36,KBCGLOBAL,2.85,3.3516893,-3.505758375098926,2023-03-15
37,KNRCON,263.7,289.95502,-2.500027955553763,2023-01-31
38,KOLTEPATIL,267.9,295.5236,-2.3044095313238033,2023-02-26
39,LPDC,7.75,8.935334,-3.7270293611314904,2023-04-01
40,MADHUCON,5.35,6.4546013,-3.7084935954144576,2023-04-07
41,MAHLIFE,360.4,392.22314,-0.929626460047442,2023-03-31
42,MANINFRA,73.45,82.368095,-3.520042832662829,2023-02-26
43,MARATHON,230.2,230.11949,-3.3132643925243754,2023-04-06
44,MBLINFRA,24.15,27.177782,-3.8776959434317653,2023-03-09
45,MURUDCERA,40.75,38.82171,-3.5600193410774685,2023-03-06
46,NBCC,39.1,41.488373,-3.3750255640098294,2023-02-25
47,NCC,93.55,86.4362,-3.413164410767853,2023-02-02
48,NILAINFRA,6.7,6.7607255,-3.649156422084109,2023-04-02
49,NILASPACES,3.45,3.8317628,-3.673391997836068,2023-03-30
50,NITCO,28.45,25.826618,-3.796949532194039,2023-04-03
51,OBEROIRLTY,859.85,961.59564,3.5924754993723647,2023-04-01
52,OMAXE,68.9,82.57637,-3.3961800630822245,2023-02-10
53,ORIENTBELL,546.5,560.0981,-3.0942519218516664,2023-01-23
54,PATELENG,18.9,21.842968,-3.5422030003371723,2023-04-03
55,PHOENIXLTD,1436.9,1447.8969,11.054741139886909,2023-04-09
56,PNCINFRA,314.2,286.98053,-7.320427719358597,2023-02-05
57,PODDARHOUS,203.4,222.10962,-3.8794113273462076,2023-03-16
58,PRAENG,15.8,19.07612,-3.741719508466607,2023-04-01
59,PRESTIGE,460.6,498.29852,-2.513267084377,2023-02-02
60,PSPPROJECT,769.15,772.62836,4.124622494905319,2023-03-28
61,PURVA,90.95,106.73366,-2.8567923192481053,2023-02-28
62,RAMKY,298.5,253.86136,-1.4268174309582495,2023-04-01
63,RPPINFRA,42.65,50.53693,-3.625132727934504,2023-01-25
64,RUSHIL,402.6,568.87317,-4.082928163447091,2023-03-01
65,RVNL,72.15,72.16313,-3.570367423670708,2023-04-03
66,SADBHAV,17.9,30.306517,-3.691971363638037,2023-01-15
67,SETUINFRA,2.2,2.5996199,-3.6139964863983827,2022-12-13
68,SIMPLEXINF,57.3,66.699905,-3.548021868991673,2023-04-06
69,SOBHA,592.75,649.8773,-0.15291255074900192,2023-01-20
70,SOMANYCERA,506.0,637.28986,1.7895713663507962,2023-03-15
71,SPMLINFRA,25.25,43.309155,-5.33463625433441,2023-01-11
72,SUNTECK,353.75,379.78348,-0.3064688707302972,2023-03-02
73,TARMAT,55.2,58.87451,-3.8804273090344217,2023-01-26
74,TCIDEVELOP,389.0,333.5951,-1.4459569007220952,2022-12-11
75,TECHIN,10.65,13.746519,-3.7858794054253244,2023-04-02
76,TEXINFRA,59.15,65.27637,-3.4300158559728877,2023-02-15
77,VASCONEQ,33.85,29.351883,-3.4618775937506547,2023-02-26
78,WELENT,160.55,161.02422,-4.384848124516016,2023-02-05
