,Company,Close,Close90,ROI,Best Selling Date Approx
0,AARVEEDEN,25.05,27.364244,-3.8063655992668024,2023-04-05
1,AMBIKCO,1512.25,1914.0662,-3.9252908896587018,2023-02-28
2,ARVIND,88.4,96.92134,-3.305618989873769,2023-02-27
3,ARVINDFASN,336.5,316.10828,-2.271710446411242,2023-02-22
4,ASHIMASYN,17.55,15.829812,-3.650411820795005,2023-02-01
5,AYMSYNTEX,73.05,86.606224,-3.563799544427281,2023-02-22
6,BANG,49.3,48.639072,-3.6685231010816373,2023-04-01
7,BHANDARI,5.65,6.4336753,-3.7266312612419106,2023-04-06
8,BOMDYEING,77.65,81.769035,-3.069832655137238,2023-01-26
9,BRFL,6.65,9.925436,-3.601859295709422,2022-06-21
10,BSL,205.25,92.14715,-3.8233419104773794,2023-01-08
11,CANTABIL,1216.95,1157.3009,5.728573804705486,2023-03-01
12,CELEBRITY,17.2,17.323412,-3.8313827058895717,2023-04-01
13,CENTENKA,419.35,583.32196,1.1612814851600202,2023-04-08
14,CNOVAPETRO,12.8,12.799537,-3.444624390904243,2021-05-25
15,DAMODARIND,57.0,64.46843,-3.880919110254863,2023-03-23
16,DCM,80.9,89.01971,-3.766477543146349,2023-01-25
17,DCMNVL,167.9,194.23734,-1.8863371674564438,2023-03-24
18,DOLLAR,414.9,482.4385,-1.141157051235478,2023-01-13
19,DONEAR,113.7,101.79224,-2.969365895539729,2023-03-05
20,EUROTEXIND,15.35,15.180016,-3.3942731559950423,2023-01-08
21,FILATEX,47.05,53.007874,-3.652095524320925,2023-04-06
22,GANECOS,905.25,919.1008,5.444522949830495,2023-03-16
23,GARFIBRES,3071.35,3170.611,18.511310227802394,2023-01-26
24,GINNIFILA,32.45,35.188335,-3.4191343109663754,2023-01-25
25,GOKEX,362.7,384.94833,-3.0348660141028305,2023-02-01
26,GTNTEX,15.4,14.892766,-3.3050919847690827,2022-03-15
27,HIMATSEIDE,80.5,116.47013,-2.872388299792083,2023-04-04
28,ICIL,143.9,139.30055,-2.711185273848334,2023-02-08
29,INDORAMA,57.2,64.57228,-3.9262173995249277,2023-02-28
30,INDTERRAIN,74.05,62.55913,-3.15632954160584,2023-02-26
31,JBFIND,8.7,10.713953,-3.709817407777398,2023-04-06
32,JINDWORLD,459.95,446.0794,-2.4816663292245766,2023-02-10
33,KITEX,187.95,215.31786,-3.5610459212518015,2023-03-22
34,KPRMILL,525.7,576.2908,2.1589376674125047,2023-03-08
35,LAMBODHARA,163.8,153.99237,-3.214783498658233,2023-01-13
36,LOVABLE,131.45,159.2922,-2.9565872574241587,2023-04-09
37,LUXIND,1599.2,2251.8943,0.12685610365124478,2023-02-03
38,MARALOVER,65.05,79.27598,-2.944847091817605,2023-04-03
39,MOHITIND,16.3,21.761707,-3.711722503427088,2023-03-20
40,MONTECARLO,669.1,574.8886,-3.288131291012204,2023-04-03
41,MORARJEE,22.55,28.911991,-3.982365604556397,2023-04-09
42,NAGREEKEXP,40.0,53.764275,-3.7366752340478917,2023-01-26
43,NAHARINDUS,106.95,165.93701,-3.7523635017065238,2023-02-06
44,NAHARPOLY,258.3,554.816,-2.4565890439765594,2023-03-21
45,NAHARSPING,281.05,281.3624,-1.7254500258279937,2023-03-15
46,NDL,24.75,63.65999,-3.340283273582569,2023-03-23
47,NITINSPIN,219.8,236.70448,-2.43374006016179,2023-03-15
48,ORBTEXP,153.85,153.34964,-3.983996775815489,2023-02-03
49,PAGEIND,41397.5,45657.074,272.8114428139553,2023-02-28
50,PATSPINLTD,14.85,14.760776,-3.3871871187162603,2022-02-23
51,PGIL,398.4,449.0129,-4.062776377560981,2023-01-11
52,PIONEEREMB,41.8,50.20685,-3.4523806737406466,2023-02-03
53,PRECOT,190.9,206.16608,-2.4950484867498033,2023-03-02
54,RAYMOND,1432.25,1440.6263,-1.1015261407480401,2023-02-02
55,RSWM,186.9,197.18922,-2.8896473428257585,2023-01-26
56,RUBYMILLS,201.4,224.76448,-0.19664366377334136,2023-01-17
57,RUPA,280.65,309.72287,-2.285144068079013,2023-03-19
58,SALONA,258.95,292.94247,-4.172906017765916,2023-02-22
59,SARLAPOLY,45.45,50.38354,-3.7411001966517623,2023-01-16
60,SGL,18.05,20.443626,-3.62073005096372,2023-01-17
61,SHIVAMILLS,98.7,121.53951,-3.7120739022802645,2023-04-06
62,SHIVATEX,126.4,160.91896,-2.30462727080364,2023-02-14
63,SIYSIL,513.4,594.5421,-1.685082120652955,2023-04-01
